"ID","Type","Name","Documentation"
"VS-001","ValueStream","Develop Academic Program","The end-to-end process of designing, approving, and preparing academic programs for delivery before any students are enrolled."
"VS-002","ValueStream","Develop Research Capability","The strategic process of building and maintaining the institutional environment, infrastructure, and expertise required to conduct world-class research."
"VS-003","ValueStream","Deliver Education & Student Experience","The complete student lifecycle, from initial recruitment and admission through to teaching, assessment, graduation, and alumni engagement."
"VS-004","ValueStream","Execute Funded Research","The end-to-end process of securing research funding, conducting the research project according to the funder's requirements, and managing its outcomes."
"VS-005","ValueStream","Disseminate Knowledge & Impact","The process of translating and sharing research findings, academic knowledge, and institutional expertise with society, industry, and the academic community."
"VS-006","ValueStream","Define Curriculum","The stage focused on analyzing needs, designing the structure of programs and courses, and securing the necessary internal academic approvals."
"VS-007","ValueStream","Establish Delivery Resources","The stage focused on creating learning materials, assigning faculty, and scheduling the resources required to deliver an approved academic program."
"VS-008","ValueStream","Analyze Market & Academic Needs","Assess demand from prospective students, employers, and the academic discipline to identify opportunities for new or revised programs."
"VS-009","ValueStream","Design Course & Program Structure","Define learning outcomes, module content, assessment methods, and the overall structure for a new or revised academic program."
"VS-010","ValueStream","Secure Academic Approval","Navigate the internal governance process to gain formal approval for the curriculum and program structure from relevant academic bodies."
"VS-011","ValueStream","Develop Learning Materials","Create, procure, and assemble all necessary teaching and learning content, such as lecture notes, reading lists, and online resources."
"VS-012","ValueStream","Assign Faculty & Staff","Identify and allocate appropriate academic and support staff to teach and administer the program."
"VS-013","ValueStream","Schedule Timetables & Facilities","Plan and schedule lectures, seminars, and labs, and book the required physical and virtual facilities."
"VS-014","ValueStream","Define Research Strategy","The stage focused on identifying strategic areas of focus and setting institutional goals for research performance and impact."
"VS-015","ValueStream","Build Research Infrastructure","The stage focused on acquiring physical assets, recruiting expert personnel, and fostering a culture conducive to high-quality research."
"VS-016","ValueStream","Identify Strategic Research Areas","Determine and prioritize the key research fields and themes where the university will focus its investment and efforts."
"VS-017","ValueStream","Set Research Performance Goals","Establish key performance indicators and targets for research funding, output quality, and societal impact."
"VS-018","ValueStream","Acquire & Maintain Facilities","Procure, manage, and maintain laboratories, specialized equipment, and other physical infrastructure essential for research."
"VS-019","ValueStream","Recruit & Develop Researchers","Attract, hire, and support the professional development of leading researchers, faculty, and technical staff."
"VS-020","ValueStream","Foster Research Culture","Promote collaboration, interdisciplinary work, and an environment of academic inquiry and integrity."
"VS-021","ValueStream","Recruit & Admit Students","The stage covering the marketing of programs, processing of applications, and formal enrollment of new students."
"VS-022","ValueStream","Deliver Teaching & Learning","The stage focused on the core educational activities of instruction, assessment, and providing academic support to students."
"VS-023","ValueStream","Manage Student Progression","The stage covering the administration of student records, the formal awarding of degrees, and post-graduation engagement."
"VS-024","ValueStream","Market Programs","Promote academic programs to prospective students through various channels to attract a strong applicant pool."
"VS-025","ValueStream","Process Applications","Receive, evaluate, and make decisions on student applications for admission."
"VS-026","ValueStream","Enroll Students","Formally register admitted students, process tuition fees, and onboard them into the university."
"VS-027","ValueStream","Provide Instruction","Deliver lectures, tutorials, labs, and other forms of teaching as defined in the curriculum."
"VS-028","ValueStream","Assess Student Performance","Conduct examinations, mark assignments, and provide feedback to evaluate student learning and determine grades."
"VS-029","ValueStream","Provide Academic Support","Offer academic advice, tutoring, and other support services to help students succeed."
"VS-030","ValueStream","Administer Student Records","Maintain accurate and secure records of student enrollment, progression, and academic achievement."
"VS-031","ValueStream","Award Credentials","Verify completion of program requirements and formally confer degrees, diplomas, and other qualifications."
"VS-032","ValueStream","Support Alumni Engagement","Maintain relationships with graduates to foster a lifelong community and support network."
"VS-033","ValueStream","Secure Research Funding","The stage focused on identifying funding sources, preparing compelling proposals, and negotiating the terms of grants and contracts."
"VS-034","ValueStream","Conduct Research Project","The stage covering the core execution of the research, from detailed planning and data collection to analysis of findings."
"VS-035","ValueStream","Manage Research Outcomes","The stage focused on fulfilling obligations to funders, protecting intellectual property, and ensuring data is properly managed."
"VS-036","ValueStream","Identify Funding Opportunities","Proactively search for and identify relevant research grants, contracts, and other funding calls from government, industry, and foundations."
"VS-037","ValueStream","Develop Research Proposal","Prepare and write a detailed research proposal outlining the objectives, methodology, budget, and expected impact."
"VS-038","ValueStream","Negotiate Grant/Contract","Finalize the terms, conditions, budget, and deliverables of the research funding agreement with the sponsoring organization."
"VS-039","ValueStream","Plan Research Activities","Develop a detailed project plan, including timelines, resource allocation, and risk management for the research project."
"VS-040","ValueStream","Execute Research & Collect Data","Carry out the planned experiments, surveys, or other research methods and gather the necessary data."
"VS-041","ValueStream","Analyze & Synthesize Findings","Process, interpret, and analyze the collected data to draw conclusions and generate new insights."
"VS-042","ValueStream","Report to Funder","Prepare and submit progress and final reports to the funding body as required by the grant or contract."
