"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS-001","VS-006",""
"","CompositionRelationship","","","VS-001","VS-007",""
"","CompositionRelationship","","","VS-006","VS-008",""
"","CompositionRelationship","","","VS-006","VS-009",""
"","CompositionRelationship","","","VS-006","VS-010",""
"","CompositionRelationship","","","VS-007","VS-011",""
"","CompositionRelationship","","","VS-007","VS-012",""
"","CompositionRelationship","","","VS-007","VS-013",""
"","CompositionRelationship","","","VS-002","VS-014",""
"","CompositionRelationship","","","VS-002","VS-015",""
"","CompositionRelationship","","","VS-014","VS-016",""
"","CompositionRelationship","","","VS-014","VS-017",""
"","CompositionRelationship","","","VS-015","VS-018",""
"","CompositionRelationship","","","VS-015","VS-019",""
"","CompositionRelationship","","","VS-015","VS-020",""
"","CompositionRelationship","","","VS-003","VS-021",""
"","CompositionRelationship","","","VS-003","VS-022",""
"","CompositionRelationship","","","VS-003","VS-023",""
"","CompositionRelationship","","","VS-021","VS-024",""
"","CompositionRelationship","","","VS-021","VS-025",""
"","CompositionRelationship","","","VS-021","VS-026",""
"","CompositionRelationship","","","VS-022","VS-027",""
"","CompositionRelationship","","","VS-022","VS-028",""
"","CompositionRelationship","","","VS-022","VS-029",""
"","CompositionRelationship","","","VS-023","VS-030",""
"","CompositionRelationship","","","VS-023","VS-031",""
"","CompositionRelationship","","","VS-023","VS-032",""
"","CompositionRelationship","","","VS-004","VS-033",""
"","CompositionRelationship","","","VS-004","VS-034",""
"","CompositionRelationship","","","VS-004","VS-035",""
"","CompositionRelationship","","","VS-033","VS-036",""
"","CompositionRelationship","","","VS-033","VS-037",""
"","CompositionRelationship","","","VS-033","VS-038",""
"","CompositionRelationship","","","VS-034","VS-039",""
"","CompositionRelationship","","","VS-034","VS-040",""
"","CompositionRelationship","","","VS-034","VS-041",""
"","CompositionRelationship","","","VS-035","VS-042",""
"","CompositionRelationship","","","VS-035","VS-043",""
"","CompositionRelationship","","","VS-035","VS-044",""
"","CompositionRelationship","","","VS-005","VS-045",""
"","CompositionRelationship","","","VS-005","VS-046",""
"","CompositionRelationship","","","VS-045","VS-047",""
"","CompositionRelationship","","","VS-045","VS-048",""
"","CompositionRelationship","","","VS-045","VS-049",""
"","CompositionRelationship","","","VS-046","VS-050",""
"","CompositionRelationship","","","VS-046","VS-051",""
"","CompositionRelationship","","","VS-046","VS-052",""
"","CompositionRelationship","","","CAP-001","CAP-006",""
"","CompositionRelationship","","","CAP-001","CAP-007",""
"","CompositionRelationship","","","CAP-001","CAP-008",""
"","CompositionRelationship","","","CAP-002","CAP-009",""
"","CompositionRelationship","","","CAP-002","CAP-010",""
"","CompositionRelationship","","","CAP-002","CAP-011",""
"","CompositionRelationship","","","CAP-002","CAP-012",""
"","CompositionRelationship","","","CAP-003","CAP-013",""
"","CompositionRelationship","","","CAP-003","CAP-014",""
"","CompositionRelationship","","","CAP-003","CAP-015",""
"","CompositionRelationship","","","CAP-004","CAP-016",""
"","CompositionRelationship","","","CAP-004","CAP-017",""
"","CompositionRelationship","","","CAP-004","CAP-018",""
"","CompositionRelationship","","","CAP-004","CAP-019",""
"","CompositionRelationship","","","CAP-005","CAP-020",""
"","CompositionRelationship","","","CAP-005","CAP-021",""
"","CompositionRelationship","","","CAP-005","CAP-022",""
"","CompositionRelationship","","","CAP-005","CAP-023",""
"","CompositionRelationship","","","BO-001","BO-006",""
"","CompositionRelationship","","","BO-001","BO-007",""
"","CompositionRelationship","","","BO-001","BO-008",""
"","CompositionRelationship","","","BO-002","BO-009",""
"","CompositionRelationship","","","BO-002","BO-010",""
"","CompositionRelationship","","","BO-002","BO-011",""
"","CompositionRelationship","","","BO-002","BO-012",""
"","CompositionRelationship","","","BO-003","BO-013",""
"","CompositionRelationship","","","BO-003","BO-014",""
"","CompositionRelationship","","","BO-003","BO-015",""
"","CompositionRelationship","","","BO-003","BO-016",""
"","CompositionRelationship","","","BO-004","BO-017",""
"","CompositionRelationship","","","BO-004","BO-018",""
"","CompositionRelationship","","","BO-004","BO-019",""
"","CompositionRelationship","","","BO-005","BO-020",""
"","CompositionRelationship","","","BO-005","BO-021",""
"","CompositionRelationship","","","BO-005","BO-022",""
"","CompositionRelationship","","","BO-005","BO-023",""
"","ServingRelationship","","","CAP-001","VS-006",""
"","ServingRelationship","","","CAP-001","VS-007",""
"","ServingRelationship","","","CAP-004","VS-014",""
"","ServingRelationship","","","CAP-004","VS-015",""
"","ServingRelationship","","","CAP-002","VS-021",""
"","ServingRelationship","","","CAP-003","VS-022",""
"","ServingRelationship","","","CAP-002","VS-022",""
"","ServingRelationship","","","CAP-002","VS-023",""
"","ServingRelationship","","","CAP-004","VS-033",""
"","ServingRelationship","","","CAP-004","VS-034",""
"","ServingRelationship","","","CAP-004","VS-035",""
"","ServingRelationship","","","CAP-005","VS-035",""
"","ServingRelationship","","","CAP-005","VS-045",""
"","ServingRelationship","","","CAP-005","VS-046",""
"","AssociationRelationship","","","CAP-001","BO-001",""
"","AssociationRelationship","","","CAP-002","BO-005",""
"","AssociationRelationship","","","CAP-002","BO-002",""
"","AssociationRelationship","","","CAP-003","BO-005",""
"","AssociationRelationship","","","CAP-004","BO-003",""
"","AssociationRelationship","","","CAP-004","BO-004",""
"","AssociationRelationship","","","CAP-004","BO-002",""
"","AssociationRelationship","","","CAP-005","BO-003",""
