"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","VS01","VS01.1",""
"","CompositionRelationship","","","VS01","VS01.2",""
"","CompositionRelationship","","","VS01.1","VS01.1.1",""
"","CompositionRelationship","","","VS01.1","VS01.1.2",""
"","CompositionRelationship","","","VS01.1","VS01.1.3",""
"","CompositionRelationship","","","VS01.2","VS01.2.1",""
"","CompositionRelationship","","","VS01.2","VS01.2.2",""
"","CompositionRelationship","","","VS01.2","VS01.2.3",""
"","CompositionRelationship","","","VS02","VS02.1",""
"","CompositionRelationship","","","VS02","VS02.2",""
"","CompositionRelationship","","","VS02.1","VS02.1.1",""
"","CompositionRelationship","","","VS02.1","VS02.1.2",""
"","CompositionRelationship","","","VS02.1","VS02.1.3",""
"","CompositionRelationship","","","VS02.2","VS02.2.1",""
"","CompositionRelationship","","","VS02.2","VS02.2.2",""
"","CompositionRelationship","","","VS02.2","VS02.2.3",""
"","CompositionRelationship","","","VS03","VS03.1",""
"","CompositionRelationship","","","VS03","VS03.2",""
"","CompositionRelationship","","","VS03","VS03.3",""
"","CompositionRelationship","","","VS03.1","VS03.1.1",""
"","CompositionRelationship","","","VS03.1","VS03.1.2",""
"","CompositionRelationship","","","VS03.1","VS03.1.3",""
"","CompositionRelationship","","","VS03.2","VS03.2.1",""
"","CompositionRelationship","","","VS03.2","VS03.2.2",""
"","CompositionRelationship","","","VS03.2","VS03.2.3",""
"","CompositionRelationship","","","VS03.3","VS03.3.1",""
"","CompositionRelationship","","","VS03.3","VS03.3.2",""
"","CompositionRelationship","","","VS03.3","VS03.3.3",""
"","CompositionRelationship","","","VS04","VS04.1",""
"","CompositionRelationship","","","VS04","VS04.2",""
"","CompositionRelationship","","","VS04","VS04.3",""
"","CompositionRelationship","","","VS04.1","VS04.1.1",""
"","CompositionRelationship","","","VS04.1","VS04.1.2",""
"","CompositionRelationship","","","VS04.1","VS04.1.3",""
"","CompositionRelationship","","","VS04.2","VS04.2.1",""
"","CompositionRelationship","","","VS04.2","VS04.2.2",""
"","CompositionRelationship","","","VS04.2","VS04.2.3",""
"","CompositionRelationship","","","VS04.3","VS04.3.1",""
"","CompositionRelationship","","","VS04.3","VS04.3.2",""
"","CompositionRelationship","","","VS04.3","VS04.3.3",""
"","CompositionRelationship","","","VS05","VS05.1",""
"","CompositionRelationship","","","VS05","VS05.2",""
"","CompositionRelationship","","","VS05","VS05.3",""
"","CompositionRelationship","","","VS05.1","VS05.1.1",""
"","CompositionRelationship","","","VS05.1","VS05.1.2",""
"","CompositionRelationship","","","VS05.1","VS05.1.3",""
"","CompositionRelationship","","","VS05.2","VS05.2.1",""
"","CompositionRelationship","","","VS05.2","VS05.2.2",""
"","CompositionRelationship","","","VS05.2","VS05.2.3",""
