"ID","Type","Name","Documentation"
"VS01","ValueStream","Develop Educational Offerings","The end-to-end process of designing, accrediting, and resourcing academic programs to be offered to students."
"VS01.1","ValueStream","Program Design & Approval","The strategic process of defining the curriculum, learning outcomes, and academic standards for new or revised educational programs."
"VS01.1.1","ValueStream","Define Curriculum","The stage of specifying course content, structure, and pedagogical approach for a program."
"VS01.1.2","ValueStream","Secure Internal Approval","The stage of navigating internal academic governance to gain approval for the proposed program."
"VS01.1.3","ValueStream","Gain External Accreditation","The stage of obtaining validation from external regulatory and professional bodies."
"VS01.2","ValueStream","Resource & Platform Enablement","The process of allocating and preparing the necessary faculty, facilities, and systems to deliver a program."
"VS01.2.1","ValueStream","Assign Academic Staff","The stage of identifying and allocating qualified faculty and teaching staff to the program."
"VS01.2.2","ValueStream","Prepare Learning Environments","The stage of equipping physical and digital learning spaces, including libraries and labs."
"VS01.2.3","ValueStream","Configure Support Systems","The stage of setting up administrative and student support systems for the new program."
"VS02","ValueStream","Develop Research & Innovation Portfolio","The end-to-end process of building and maintaining the institutional capacity for world-class research and knowledge creation."
"VS02.1","ValueStream","Establish Research Strategy & Infrastructure","The strategic process of defining research priorities and building the physical and digital infrastructure to support them."
"VS02.1.1","ValueStream","Define Research Priorities","The stage of identifying strategic areas of research focus for the institution."
"VS02.1.2","ValueStream","Develop Core Facilities","The stage of building and equipping laboratories, data centers, and other core research infrastructure."
"VS02.1.3","ValueStream","Acquire Foundational IP","The stage of securing or developing initial intellectual property that forms the basis for future research."
"VS02.2","ValueStream","Build Research Talent & Expertise","The process of recruiting, developing, and retaining leading researchers and technical staff."
"VS02.2.1","ValueStream","Recruit Principal Investigators","The stage of attracting and hiring world-class faculty to lead research groups."
"VS02.2.2","ValueStream","Develop Research Teams","The stage of assembling and training postdoctoral researchers, technicians, and graduate students."
"VS02.2.3","ValueStream","Foster Collaborative Networks","The stage of building internal and external partnerships to enhance research capacity."
"VS03","ValueStream","Deliver Student Education & Experience","The end-to-end process of managing the student journey from initial inquiry through to graduation and alumni status."
"VS03.1","ValueStream","Recruit & Admit Students","The process of attracting, evaluating, and admitting qualified applicants into academic programs."
"VS03.1.1","ValueStream","Market Programs to Prospects","The stage of promoting educational offerings to potential students."
"VS03.1.2","ValueStream","Process Student Applications","The stage of receiving and evaluating applications for admission."
"VS03.1.3","ValueStream","Offer Admission & Onboard","The stage of extending offers of admission and managing the enrollment process for new students."
"VS03.2","ValueStream","Deliver Learning & Assessment","The core process of providing instruction, guidance, and evaluation to students throughout their program."
"VS03.2.1","ValueStream","Manage Course Enrollment","The stage where students select and are registered into specific courses for an academic term."
"VS03.2.2","ValueStream","Provide Instruction & Support","The stage of delivering lectures, tutorials, labs, and providing academic advising."
"VS03.2.3","ValueStream","Conduct Assessment & Grading","The stage of evaluating student work and recording academic performance."
"VS03.3","ValueStream","Manage Student Progression & Completion","The process of monitoring student progress, providing support services, and managing graduation."
"VS03.3.1","ValueStream","Monitor Academic Standing","The stage of tracking student progress against program requirements."
"VS03.3.2","ValueStream","Provide Pastoral & Career Support","The stage of offering non-academic support services, including wellness and career advice."
"VS03.3.3","ValueStream","Certify Graduation & Confer Award","The stage of verifying program completion and awarding the degree."
"VS04","ValueStream","Execute Funded Research Projects","The end-to-end process of securing funding for, conducting, and reporting on specific research projects."
"VS04.1","ValueStream","Secure Research Funding","The process of identifying funding opportunities, preparing proposals, and securing grants or contracts."
"VS04.1.1","ValueStream","Identify Funding Opportunities","The stage of searching for and identifying relevant grant calls and research tenders."
"VS04.1.2","ValueStream","Develop & Submit Proposal","The stage of writing and submitting a detailed research proposal to a funding body."
"VS04.1.3","ValueStream","Negotiate & Accept Award","The stage of finalizing the terms of the grant or contract with the funder."
"VS04.2","ValueStream","Conduct Research & Manage Project","The core process of executing the planned research activities and managing project resources."
"VS04.2.1","ValueStream","Establish Project Governance","The stage of setting up the project plan, budget, and compliance framework."
"VS04.2.2","ValueStream","Execute Research & Collect Data","The stage of performing experiments, fieldwork, or other research activities."
"VS04.2.3","ValueStream","Analyze Data & Synthesize Findings","The stage of interpreting research data and drawing conclusions."
"VS04.3","ValueStream","Disseminate & Report Outcomes","The process of sharing research findings with the academic community and reporting back to funders."
"VS04.3.1","ValueStream","Publish Academic Papers","The stage of writing and submitting research findings to peer-reviewed journals and conferences."
"VS04.3.2","ValueStream","Manage Research Data","The stage of curating, archiving, and sharing research data according to policy."
"VS04.3.3","ValueStream","Report to Funding Body","The stage of preparing and submitting progress and final reports to the research funder."
"VS05","ValueStream","Deliver Societal & Commercial Impact","The end-to-end process of translating research and expertise into tangible value for external partners and society."
"VS05.1","ValueStream","Identify & Engage Partners","The process of identifying potential industry or community partners and developing relationships."
"VS05.1.1","ValueStream","Scan for Commercial Opportunities","The stage of assessing research outputs for commercial or societal potential."
"VS05.1.2","ValueStream","Develop External Relationships","The stage of building networks and engaging with potential industry and community partners."
"VS05.1.3","ValueStream","Qualify Engagement Leads","The stage of evaluating and prioritizing potential partnership opportunities."
"VS05.2","ValueStream","Structure & Formalize Engagements","The process of negotiating and establishing formal agreements for collaboration, licensing, or service delivery."
"VS05.2.1","ValueStream","Scope Collaborative Project","The stage of defining the objectives, deliverables, and terms for a joint project."
"VS05.2.2","ValueStream","Negotiate Licensing & Service Terms","The stage of establishing the legal and financial terms for IP licensing or consulting services."
"VS05.2.3","ValueStream","Execute Partnership Agreement","The stage of formally signing contracts and agreements."
"VS05.3","ValueStream","Deliver & Manage Partner Value","The process of delivering on the agreed commitments and managing the ongoing partnership."
"VS05.3.1","ValueStream","Deliver Contracted Services","The stage of providing consulting, testing, or other professional services."
"VS05.3.2","ValueStream","Manage IP & Royalty Streams","The stage of administering intellectual property licenses and collecting resulting income."
"VS05.3.3","ValueStream","Report on Partnership Impact","The stage of tracking and reporting the outcomes and impact of the engagement to stakeholders."
"CAP01","Capability","Academic Management","The ability to design, deliver, and manage the lifecycle of educational programs and students."
"CAP01.1","Capability","Curriculum & Program Management","The ability to design, approve, and maintain the portfolio of academic programs and their curricula."
"CAP01.1.1","Capability","Curriculum Design","The ability to define learning outcomes and structure academic content for courses and programs."
"CAP01.1.2","Capability","Academic Governance","The ability to manage the internal review and approval processes for academic matters."
"CAP01.1.3","Capability","Accreditation Management","The ability to manage relationships and compliance with external accrediting bodies."
"CAP01.2","Capability","Student Lifecycle Management","The ability to manage all administrative and support aspects of the student journey from admission to graduation."
"CAP01.2.1","Capability","Admissions Management","The ability to process applications and manage the selection and admission of students."
"CAP01.2.2","Capability","Enrollment & Records Management","The ability to manage student registration, academic records, and progression."
"CAP01.2.3","Capability","Student Support Management","The ability to provide pastoral, academic, and career support services to students."
"CAP01.3","Capability","Academic Delivery Management","The ability to plan, resource, and execute the delivery of teaching and assessment."
