"ID","Type","Name","Documentation"
"C0","Capability","Create & Disseminate Knowledge","The university's entire capability to generate new knowledge through research, package it into educational offerings, and deliver it to students and society."
"C1_1","Capability","Develop & Manage Academic Portfolio","The capability to design, approve, and manage the portfolio of academic programs and courses offered by the university."
"C1_2","Capability","Manage Student Lifecycle","The capability to manage the entire student journey, from initial recruitment and admission through to graduation and alumni status."
"C1_3","Capability","Execute Research & Innovation Lifecycle","The capability to secure funding for, execute, and disseminate research, as well as to manage the process of protecting and commercializing resulting innovations."
"C1_4","Capability","Foster External Engagement & Impact","The capability to build and maintain relationships with external stakeholders, including alumni, industry partners, and potential licensees, to maximize societal and economic impact."
"C1_5","Capability","Govern University Enterprise","The capability to provide the strategic direction, foundational resources, and administrative oversight required for all academic and research activities."
"C2_1","Capability","Curriculum Design & Management","The ability to create and maintain curricula, including learning outcomes, course content, and assessment strategies."
"C2_2","Capability","Academic Program Portfolio Management","The ability to manage the overall portfolio of academic programs, ensuring strategic alignment, viability, and market relevance."
"C2_3","Capability","Student Recruitment & Admissions Management","The ability to attract, evaluate, and admit qualified students into the university's programs."
"C2_4","Capability","Student Administration & Records Management","The ability to manage student records, enrollment, academic progress, and the conferral of degrees."
"C2_5","Capability","Teaching & Learning Delivery","The ability to deliver high-quality instruction and learning experiences to students."
"C2_6","Capability","Student Welfare & Support Management","The ability to provide non-academic support services to students, including counseling, financial aid, and disability services."
"C2_7","Capability","Grant & Proposal Development","The ability to identify funding opportunities and develop compelling research proposals to secure grants."
"C2_8","Capability","Research Execution Management","The ability to conduct research, including data collection, analysis, and interpretation, in a rigorous and ethical manner."
"C2_9","Capability","Research Dissemination Management","The ability to publish and otherwise share research findings with the academic community and the public."
"C2_10","Capability","Invention Assessment & Triage","The ability to evaluate invention disclosures from researchers to determine their commercial potential."
"C2_11","Capability","Intellectual Property Management","The ability to protect university innovations through patents, copyrights, and other legal means."
"C2_12","Capability","Alumni Relations Management","The ability to maintain long-term relationships with graduates for networking, fundraising, and community-building purposes."
"C2_13","Capability","Technology Marketing & Licensing Management","The ability to market university technologies to industry and negotiate licensing agreements."
"C2_14","Capability","Partner Relationship Management","The ability to establish and manage strategic partnerships with industry, government, and other organizations."
"C2_15","Capability","Strategic Research Planning","The ability to set strategic priorities for research and allocate resources accordingly."
"C2_16","Capability","Faculty & Staff Management","The ability to recruit, develop, and manage academic and professional staff."
"C2_17","Capability","Research Infrastructure Management","The ability to manage and maintain laboratories, equipment, and other facilities essential for research."
"C2_18","Capability","Research Methodology Development","The ability to develop and refine the scientific methods and protocols used in research."
"C2_19","Capability","Financial Management","The ability to manage the university's financial resources, including tuition, grants, endowments, and operational budgets."
"C2_20","Capability","Legal & Contract Management","The ability to manage legal risks and negotiate contracts with students, funders, and partners."
"C2_21","Capability","Research Ethics & Compliance Management","The ability to ensure all research activities adhere to ethical standards and regulatory requirements."
"BO0","BusinessObject","University Asset","The complete set of tangible and intangible assets that the university creates, manages, and leverages, including its knowledge, relationships, and resources."
"BO1_1","BusinessObject","Academic Portfolio","The collection of all approved academic programs and their constituent parts, representing the university's educational offerings."
"BO1_2","BusinessObject","Student Relationship","The representation of the end-to-end engagement with a student, from applicant to alumnus."
"BO1_3","BusinessObject","Research & Innovation Asset","The collection of intellectual assets generated through the research lifecycle, from initial ideas to protected IP."
"BO1_4","BusinessObject","External Engagement","The set of formal relationships and agreements with external parties, such as alumni and commercial partners."
"BO1_5","BusinessObject","Governing Principle & Resource","The collection of strategic mandates, policies, and core resources that enable the university's operations."
"BO2_1","BusinessObject","Academic Program Proposal","A formal document outlining the rationale, structure, and curriculum for a new or revised academic program."
"BO2_2","BusinessObject","Approved Program","A fully vetted and approved academic program, authorized for delivery to students."
"BO2_3","BusinessObject","Course Content","The materials, lectures, and activities that constitute a specific academic course."
"BO2_4","BusinessObject","Assessment Framework","The defined methods and criteria for evaluating student learning and performance."
"BO2_5","BusinessObject","Program Catalogue Entry","The official public listing of an academic program, including its description, requirements, and admission criteria."
"BO2_6","BusinessObject","Student Application","A formal request from a prospective student for admission to a specific program."
"BO2_7","BusinessObject","Student Enrollment","The official record of a student's registration in a program and its courses for a specific academic term."
"BO2_8","BusinessObject","Learning Experience","The delivery of instructional content and activities to a student."
"BO2_9","BusinessObject","Academic Transcript","The official record of a student's academic performance, including courses taken and grades received."
"BO2_10","BusinessObject","Student Support Case","A record of a specific request for non-academic support or assistance by a student."
"BO2_11","BusinessObject","Academic Credential","The official degree, diploma, or certificate awarded to a student upon successful completion of a program."
"BO2_12","BusinessObject","Grant Opportunity","An identified call for proposals or funding opportunity from a government agency, foundation, or corporation."
"BO2_13","BusinessObject","Research Proposal","A formal document submitted to a funding body, detailing the objectives, methodology, and budget for a proposed research project."
"BO2_14","BusinessObject","Raw Research Data","The unprocessed data collected during the course of a research project."
"BO2_15","BusinessObject","Verified Research Finding","An interpretation of research data that has been validated and is ready for dissemination."
"BO2_16","BusinessObject","Published Research","A research finding that has been formally published in a peer-reviewed journal, conference proceeding, or book."
"BO2_17","BusinessObject","Invention Disclosure","A formal document submitted by a researcher to the university, describing a new invention or discovery."
"BO2_18","BusinessObject","Commercial Viability Assessment","An analysis of the market potential and technical feasibility of a disclosed invention."
"BO2_19","BusinessObject","Patent or Copyright","A legal instrument that protects the university's intellectual property rights to an invention or creative work."
"BO2_20","BusinessObject","Alumni Record","The official record of a graduate, used for communication and engagement."
"BO2_21","BusinessObject","Licensing Prospect","A potential industry partner identified as a candidate for licensing a university technology."
"BO2_22","BusinessObject","Commercialization Agreement","A legally binding contract that grants a third party the rights to use and commercialize university-owned intellectual property."
"BO2_23","BusinessObject","Strategic Research Mandate","A formal directive outlining a priority area for research investment and development."
"BO2_24","BusinessObject","Faculty Appointment","The formal contract and terms of employment for a member of the academic staff."
"BO2_25","BusinessObject","Research Infrastructure","The physical labs, equipment, and core facilities established to support research activities."
"BO2_26","BusinessObject","Research Protocol","A detailed, step-by-step plan for conducting a specific experiment or research procedure."
"BO2_27","BusinessObject","Tuition Payment","A financial transaction representing the payment of fees by a student for educational services."
"BO2_28","BusinessObject","Grant Financial Statement","A report detailing the income and expenditure associated with a specific research grant."
"BO2_29","BusinessObject","Royalty Payment","A financial transaction representing income received from the licensing of intellectual property."
"BO2_30","BusinessObject","Core Research Grant","Foundational funding secured to establish a research capability, often from internal sources or large institutional grants."
"BO2_31","BusinessObject","Research Grant","A contract with an external body to fund a specific research project."
"BO2_32","BusinessObject","Grant Report","A formal report submitted to a funding body, detailing the progress and outcomes of a funded research project."
"VS0_1","ValueStream","Develop Educational Offerings","A value stream for the design, approval, and cataloging of academic programs and courses before any students are enrolled."
"VS0_2","ValueStream","Build Research Capabilities","A value stream for establishing the foundational faculty, facilities, and expertise in strategic research areas, independent of any specific grant or project."
"VS0_3","ValueStream","Educate to Graduate","A value stream triggered by a student's application to an existing program, covering the entire lifecycle from admission to graduation."
"VS0_4","ValueStream","Research to Impact","A value stream triggered by a specific funding opportunity or research question, covering the entire project lifecycle from proposal to dissemination of findings."
"VS0_5","ValueStream","Innovate to Commercialize","A value stream triggered by the disclosure of a new invention, covering the process of protecting and licensing the intellectual property to an external partner."
"VS1_1","ValueStream","Define Academic Product","The stages within the Develop Educational Offerings stream focused on designing and defining the academic product."
"VS1_2","ValueStream","Establish Research Foundations","The stages within the Build Research Capabilities stream focused on establishing the core resources and direction for research."
"VS1_3","ValueStream","Deliver Student Journey","The core stages of the Educate to Graduate stream that directly involve the student's academic and support experience."
"VS1_4","ValueStream","Manage Student Engagement","The stages within the Educate to Graduate stream focused on post-graduation and external relationship management."
"VS1_5","ValueStream","Administer Student Progression","The administrative and financial stages that support the student's progression through their program."
"VS1_6","ValueStream","Execute Research Project","The core stages of the Research to Impact stream focused on the scientific and intellectual work of the project."
"VS1_7","ValueStream","Administer Research Project","The administrative and financial stages that support the execution of a research project."
"VS1_8","ValueStream","Execute Commercialization","The core stages of the Innovate to Commercialize stream focused on assessing and protecting the intellectual property."
"VS1_9","ValueStream","Manage Partner Engagement","The stages within the Innovate to Commercialize stream focused on engaging with external partners."
"VS1_10","ValueStream","Administer Commercialization","The administrative and financial stages that support the commercialization of an invention."
"VS2_1","ValueStream","Design Program","The stage of creating the initial proposal for a new academic program."
"VS2_2","ValueStream","Approve Curriculum","The stage of formally reviewing and approving the program's curriculum and structure."
"VS2_3","ValueStream","Develop Course Materials","The stage of creating the specific content, lectures, and resources for the program's courses."
"VS2_4","ValueStream","Establish Assessment Methods","The stage of defining how student learning will be measured and graded."
"VS2_5","ValueStream","List Program in Catalogue","The stage of making the approved program publicly visible and available for applications."
"VS2_6","ValueStream","Identify Strategic Research Area","The stage of determining a priority area for institutional investment in research."
"VS2_7","ValueStream","Recruit Principal Investigators","The stage of hiring key academic staff to lead research in the strategic area."
"VS2_8","ValueStream","Establish Labs & Facilities","The stage of creating the physical infrastructure required for the research."
"VS2_9","ValueStream","Develop Core Methodologies","The stage of defining the standard scientific protocols and approaches for the research area."
"VS2_10","ValueStream","Secure Foundational Funding","The stage of acquiring the initial capital to launch the research capability."
"VS2_11","ValueStream","Recruit & Admit Student","The stage of attracting applicants and selecting qualified candidates for a program."
