"ID","Type","Name","Documentation","Source","Target","Specialization"
"","CompositionRelationship","","","C0","C1_1",""
"","CompositionRelationship","","","C0","C1_2",""
"","CompositionRelationship","","","C0","C1_3",""
"","CompositionRelationship","","","C0","C1_4",""
"","CompositionRelationship","","","C0","C1_5",""
"","CompositionRelationship","","","C1_1","C2_1",""
"","CompositionRelationship","","","C1_1","C2_2",""
"","CompositionRelationship","","","C1_2","C2_3",""
"","CompositionRelationship","","","C1_2","C2_4",""
"","CompositionRelationship","","","C1_2","C2_5",""
"","CompositionRelationship","","","C1_2","C2_6",""
"","CompositionRelationship","","","C1_3","C2_7",""
"","CompositionRelationship","","","C1_3","C2_8",""
"","CompositionRelationship","","","C1_3","C2_9",""
"","CompositionRelationship","","","C1_3","C2_10",""
"","CompositionRelationship","","","C1_3","C2_11",""
"","CompositionRelationship","","","C1_4","C2_12",""
"","CompositionRelationship","","","C1_4","C2_13",""
"","CompositionRelationship","","","C1_4","C2_14",""
"","CompositionRelationship","","","C1_5","C2_15",""
"","CompositionRelationship","","","C1_5","C2_16",""
"","CompositionRelationship","","","C1_5","C2_17",""
"","CompositionRelationship","","","C1_5","C2_18",""
"","CompositionRelationship","","","C1_5","C2_19",""
"","CompositionRelationship","","","C1_5","C2_20",""
"","CompositionRelationship","","","C1_5","C2_21",""
"","CompositionRelationship","","","BO0","BO1_1",""
"","CompositionRelationship","","","BO0","BO1_2",""
"","CompositionRelationship","","","BO0","BO1_3",""
"","CompositionRelationship","","","BO0","BO1_4",""
"","CompositionRelationship","","","BO0","BO1_5",""
"","CompositionRelationship","","","BO1_1","BO2_1",""
"","CompositionRelationship","","","BO1_1","BO2_2",""
"","CompositionRelationship","","","BO1_1","BO2_3",""
"","CompositionRelationship","","","BO1_1","BO2_4",""
"","CompositionRelationship","","","BO1_1","BO2_5",""
"","CompositionRelationship","","","BO1_2","BO2_6",""
"","CompositionRelationship","","","BO1_2","BO2_7",""
"","CompositionRelationship","","","BO1_2","BO2_8",""
"","CompositionRelationship","","","BO1_2","BO2_9",""
"","CompositionRelationship","","","BO1_2","BO2_10",""
"","CompositionRelationship","","","BO1_2","BO2_11",""
"","CompositionRelationship","","","BO1_3","BO2_12",""
"","CompositionRelationship","","","BO1_3","BO2_13",""
"","CompositionRelationship","","","BO1_3","BO2_14",""
"","CompositionRelationship","","","BO1_3","BO2_15",""
"","CompositionRelationship","","","BO1_3","BO2_16",""
"","CompositionRelationship","","","BO1_3","BO2_17",""
"","CompositionRelationship","","","BO1_3","BO2_18",""
"","CompositionRelationship","","","BO1_3","BO2_19",""
"","CompositionRelationship","","","BO1_4","BO2_20",""
"","CompositionRelationship","","","BO1_4","BO2_21",""
"","CompositionRelationship","","","BO1_4","BO2_22",""
"","CompositionRelationship","","","BO1_5","BO2_23",""
"","CompositionRelationship","","","BO1_5","BO2_24",""
"","CompositionRelationship","","","BO1_5","BO2_25",""
"","CompositionRelationship","","","BO1_5","BO2_26",""
"","CompositionRelationship","","","BO1_5","BO2_27",""
"","CompositionRelationship","","","BO1_5","BO2_28",""
"","CompositionRelationship","","","BO1_5","BO2_29",""
"","CompositionRelationship","","","BO1_5","BO2_30",""
"","CompositionRelationship","","","BO1_5","BO2_31",""
"","CompositionRelationship","","","BO1_5","BO2_32",""
"","CompositionRelationship","","","VS0_1","VS1_1",""
"","CompositionRelationship","","","VS0_2","VS1_2",""
"","CompositionRelationship","","","VS0_3","VS1_3",""
"","CompositionRelationship","","","VS0_3","VS1_4",""
"","CompositionRelationship","","","VS0_3","VS1_5",""
"","CompositionRelationship","","","VS0_4","VS1_6",""
"","CompositionRelationship","","","VS0_4","VS1_7",""
"","CompositionRelationship","","","VS0_5","VS1_8",""
"","CompositionRelationship","","","VS0_5","VS1_9",""
"","CompositionRelationship","","","VS0_5","VS1_10",""
"","CompositionRelationship","","","VS1_1","VS2_1",""
"","CompositionRelationship","","","VS1_1","VS2_2",""
"","CompositionRelationship","","","VS1_1","VS2_3",""
"","CompositionRelationship","","","VS1_1","VS2_4",""
"","CompositionRelationship","","","VS1_1","VS2_5",""
"","CompositionRelationship","","","VS1_2","VS2_6",""
"","CompositionRelationship","","","VS1_2","VS2_7",""
"","CompositionRelationship","","","VS1_2","VS2_8",""
"","CompositionRelationship","","","VS1_2","VS2_9",""
"","CompositionRelationship","","","VS1_2","VS2_10",""
"","CompositionRelationship","","","VS1_3","VS2_11",""
"","CompositionRelationship","","","VS1_3","VS2_12",""
"","CompositionRelationship","","","VS1_3","VS2_13",""
"","CompositionRelationship","","","VS1_3","VS2_14",""
"","CompositionRelationship","","","VS1_3","VS2_15",""
"","CompositionRelationship","","","VS1_3","VS2_17",""
"","CompositionRelationship","","","VS1_4","VS2_18",""
"","CompositionRelationship","","","VS1_5","VS2_16",""
"","CompositionRelationship","","","VS1_6","VS2_19",""
"","CompositionRelationship","","","VS1_6","VS2_20",""
"","CompositionRelationship","","","VS1_6","VS2_22",""
"","CompositionRelationship","","","VS1_6","VS2_23",""
"","CompositionRelationship","","","VS1_6","VS2_25",""
"","CompositionRelationship","","","VS1_7","VS2_21",""
"","CompositionRelationship","","","VS1_7","VS2_24",""
"","CompositionRelationship","","","VS1_7","VS2_26",""
"","CompositionRelationship","","","VS1_8","VS2_27",""
"","CompositionRelationship","","","VS1_8","VS2_28",""
"","CompositionRelationship","","","VS1_8","VS2_29",""
"","CompositionRelationship","","","VS1_9","VS2_30",""
"","CompositionRelationship","","","VS1_10","VS2_31",""
"","CompositionRelationship","","","VS1_10","VS2_32",""
"","AssociationRelationship","","","C2_1","BO2_1",""
"","AssociationRelationship","","","C2_1","BO2_2",""
"","AssociationRelationship","","","C2_1","BO2_3",""
"","AssociationRelationship","","","C2_1","BO2_4",""
"","AssociationRelationship","","","C2_2","BO2_5",""
"","AssociationRelationship","","","C2_3","BO2_6",""
"","AssociationRelationship","","","C2_4","BO2_7",""
"","AssociationRelationship","","","C2_4","BO2_9",""
"","AssociationRelationship","","","C2_4","BO2_11",""
"","AssociationRelationship","","","C2_5","BO2_8",""
"","AssociationRelationship","","","C2_6","BO2_10",""
"","AssociationRelationship","","","C2_7","BO2_12",""
"","AssociationRelationship","","","C2_7","BO2_13",""
"","AssociationRelationship","","","C2_8","BO2_14",""
"","AssociationRelationship","","","C2_8","BO2_15",""
"","AssociationRelationship","","","C2_9","BO2_16",""
